Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2023-876646,2023-08-02,2023-08-02,Standard Class,CUST-7912,Consumer,United States,New York City,New York,West,FUR-LA-4811,Furniture,Labels,Labels Product 65,896.78,4,0.4,-67.87
CA-2023-571029,2023-05-17,2023-05-17,First Class,CUST-1106,Consumer,United States,Chicago,Washington,Central,TEC-CO-3547,Technology,Copiers,Copiers Product 28,21434.33,12,0.1,5429.48
CA-2021-946335,2021-11-20,2021-11-20,Standard Class,CUST-8527,Home Office,United States,Los Angeles,Texas,East,FUR-TA-5803,Furniture,Tables,Tables Product 81,969.88,2,0.15,-102.6
CA-2023-403445,2023-06-20,2023-06-26,Standard Class,CUST-4814,Consumer,United States,Chicago,Washington,South,OFF-EN-6977,Office Supplies,Envelopes,Envelopes Product 21,111.36,12,0.5,3.23
CA-2022-765822,2022-01-28,2022-01-30,Second Class,CUST-9751,Home Office,United States,San Francisco,California,South,FUR-LA-7216,Furniture,Labels,Labels Product 35,11828.46,12,0.3,-858.17
CA-2023-340174,2023-08-03,2023-08-08,Standard Class,CUST-6168,Corporate,United States,Philadelphia,New York,West,TEC-CO-6155,Technology,Copiers,Copiers Product 28,11444.62,11,0.0,4661.68
CA-2023-665158,2023-09-04,2023-09-07,First Class,CUST-8019,Home Office,United States,Chicago,Washington,West,OFF-SU-3266,Office Supplies,Supplies,Supplies Product 66,118.96,3,0.3,-18.92
CA-2022-725380,2022-10-07,2022-10-07,Standard Class,CUST-7304,Corporate,United States,Columbus,Texas,Central,FUR-BO-1188,Furniture,Bookcases,Bookcases Product 88,2303.52,3,0.2,163.65
CA-2020-265840,2020-08-22,2020-08-27,Same Day,CUST-1053,Home Office,United States,Philadelphia,Pennsylvania,West,TEC-MA-9317,Technology,Machines,Machines Product 14,20371.42,13,0.2,-391.62
CA-2023-656116,2023-07-04,2023-07-06,Standard Class,CUST-6310,Corporate,United States,New York City,New York,Central,TEC-CO-6038,Technology,Copiers,Copiers Product 31,1776.53,3,0.5,-303.37
